,Test_set,Actual Values,Predicted Values
24258,terrible dont want negative film stupid monkey disaster couldnt believe bad movie dialogs strange camera work times horrible music times like soundtrack lawrence arabia watched film see much worse get side kick actors total disaster sorry thumbs toes anything hang downwards body falling ground harvey keitle great actor knows maybe financial crunch take part fiasco film movie presented students film schools teach lesson make film,0,0
15478,flipping channels late saturday night friends stumbled across film first irish actor pierce brosnan native american seriously accent breaking much although character apparently scottish next stunned find film made already played james bond agent least twice movie plays stereotypes inspiring professor figure girl played pony paid keep mouth shut film award believe brosnan attractive man seriously wanted gauge eyes watching seconds switched kicking screaming wanted switch back watched childrens classic indian cupboard earlier night also discussed iroquois following line represents desire run away take outside earth grasper grey owl dont like dont watch,0,0
1837,agree comment love realism many movies movies eating disorders producers seem forget take every day problem create hugely dramatic scene come end movie everything perfect dislike reality meaning say things cant get better meaning say things dont movie doesnt spend movie creating problems come end movie everything perfect people eating disorders people dont admit want get better life peachy takes time like movie grow characters difficulties getting better worse important part movie gets minds people eating disorders shows complications pain realistic way loved also love shows secrecy betrayal people feel suffering eating disorders scary see people react find especially approve thought movie touching beautiful well told defiantly one favourites,1,1
20589,okay know millions americans believe rapture moment people born christ raptured meet god rest humanity left earth perish plagues fire heartbreak psoriasis antichrist battles jesus uncharacteristically warlike mode know books best sellers among believers anyway mean disrespect say stuffed movie sack beat suck stick sure books much better really plot needs reprising youve watched movie chances read book may one people earth actually watched sheer bad moving making experience wasnt disappointed especially kirk cameron creepy little growing pains gremlin came age show found christ decided show reflect christian values well kirk career gone dogs happy youre spreading word god movies bad never even make theatrical release well thats strictly true guess movie ever made went dvd first voucher free viewing movie briefly released theaters still voucher many people suppose showed dont know never came town course live nyc godless liberals sit around tearing pages bible use roll joints fact ill bet three million people manhattan island one would raptured check supplementary materials dvd youll learn creepy behind scenes details movies cast crew must religious mindset dont come right say listen closely filmmakers say like bunch pod people got together make pod movie creepazoid honestly stuff preaches converted doesnt imagine anyone doesnt subscribe whole apocalypse thing watching slapping forehead saying holy hoover dam better get saved pronto anyhow hooked got see rest christian fiasco movies especially one gary busey think tribulations least busey excuse taking part cracked head pavement crashed motorcycle one thing whats shots poor innocent dogs whimpering leashes dragging uselessly along ground owners called heaven whats supposed feel badly dogs make god doesnt irk people theres room heaven mans best friend foo one reason agnostic good night good luck,0,0
7312,watched sky missed first half hour wonder true story watched end brief end say happened everyone remind speed end day dont suppose released cinema see following error goof saw remove bonnet hood later two shots car police car front trying slow bonnet back edge seat especially thought baby going hit bridge course bridge wasnt going lowered afraid burst tears wasnt bad,1,0
23636,storyline film spanning odd hours covers adequate details happenings kargil sector near loc pakistani infiltrators crossed loc entered deep indian territory indian retaliation know story would suggest readers read news items pertaining kargil comment one looking formula story movie one sure absent loc story pure sacrifice patriotism courage lots lots bullets blood movie hall saw film full whistles cheers film shows indian bravery movie audience seemed similar audiences like india pak cricket match watch movie tribute armys sacrifice characterization real life war heroes pvc honoured heroes sacrificed lives could see day movie made brilliant portrayal army battled odds rough weather conditions films negatives stretched songs extremely boring,0,1
22845,may start saying casey affleck talented actor respect work much wish movies showcased talent said soul survivors bad movie bad would say lay almost blame poor script affleck talented actress wes bentley outstanding performance american beauty melissa sagemiller well eliza dushku currently girl hollywood dont think actors really got script understand say movie belongs horror genre overstatement twists turns would expect didnt lead anywhere except confusion found ending anti climatic didnt seem make sense really answer questions storyline wish could give movie good review cant honesty thing think find scary movie paid,0,0
22137,humdrum movie fare stella stevens taking directions someone disguise didnt take long guess old nevada town outside vegas money heist circus circus hotel las vegas stevens leads girl gang three find must act much quicker anticipated despite neat looks las vegas average yet credible acting involved plot line potential las vegas lady lays one big boring egg seems forever film kick gear sputters never really speeds somewhat disappointed film sure wasnt expecting anything great least thought might one neat exploitation films something like even close one dies lame gunfight creaky stuart whitman officious george dicenzo one year prior grand performance prosecuting attorney bugliosa helter skelter gunfight suspense watching waterfall one punch one head hit blunt instrument beyond nothing terms action girls dont expect much either stella girls mediocre yet pretty talents get sauna bath see nothing fleeting side profile stella wears nice open blouses accentuating real talents wish would bit open performance way could write one thing would recommend film alas little say films favor isnt horrible film way nothing going either yawn,0,0
3041,one movie see wed married couple movie portrais couple italy deals difficult topics abortion infidelity juggling work family called culture death experiencing nowadays world terrible movie surely make think must see hope gets distributed congratulations cast director two thumbs star evaluation,1,0
24355,follow far better cleopatra jones statuesque black actress tamara dobson returning signature role chic super tough narcotics agent busting heroin ring hong kong cross pollination blaxploitation action flick kung movie fun outset eventually flags shoot finale right assembly line dobson seems less energetic shes still sexy puts unique spin comically stilted dialogue surroundings may much one thing shes jaded stella stevens plays villainess time shes good cant match shelley winters predecessor,0,1
2869,brazil tupinambas indians friends frenches enemies tupiniquins friends portugueses frenchman ardu colassanti captured tupinamb spite trial convince french believe portuguese frenchman becomes slave maritally lives seboipepe ana maria magalh later uses powder cannons portuguese left behind defeat tupiniquins battle order celebrate victory indians decide eat como era gostoso meu franc another great low budget movie great brazilian director lson pereira dos santos screenplay original story spoken tupi film shot using natural light time realistic actors actresses perform naked ana maria magalh magnificent showing wonderful body giving stunning performance sound produced brazilian musician rodrix movie shows beginning exploitation country europeans focusing portuguese french time trading indians exchanging combs mirrors natural resources movie awarded national festivals brazilian cinema festival bras lia festival braz lia cinema brasileiro best screenplay nelson pereira dos santos best dialog nelson pereira dos santos humberto mauro best cenograph gis monteiro art critics association paulo associa paulista dos ticos arte best revelation year ana maria magalh prizes vote eight title brazil como era gostoso meu franc tasty frenchman,1,1
9593,yall think boring telecast halle berry denzel washington deserve oscars shut one best academy awards show moment history black yes black actress win academy award best actress many black sisters ignored academy many years honest stop watching academy awards lack diversity either winners nominees nothing bunch white people patting back academy many chances vote black actresses brilliant movies alfre woodard whoopi goldberg diana ross mary jean babtise halle berry deserved oscar competition academy pressure vote long deserving actresses ignored academy majority comprised white voters yeah yeah nicole kidman sang prettily muling rouge time black people accommodated awards shows washington academy owed big time unfair loss malcomx think race issue probably white people movie industry well many talented black actresses around either reduced stereo made white people roles think black women existence angela basset expect many white people understand never deal come think one inflicting,1,1
14055,today found laughed vhs sale rental really old used vhs information movie liked references listed cover names peter bogdanovich audrey hepburn john ritter specially dorothy stratten attracted price low decided risk buy searched imdb user rating excellent reference looked mick martin marsha porter video dvd guide wow four stars decided could waste time immediately see indeed finished watching laughed found boring overrated movie characters badly developed spent lots minutes understand roles story plot supposed funny private eyes fall love women chasing laughed along whole story coincidences huge city like new york ridiculous ben gazarra attractive seductive man women falling brad pitt antonio banderas george clooney quite ridiculous end greater attractions certainly presence playboy centerfold playmate year dorothy stratten murdered husband pretty release movie whose life showed star death centerfold dorothy stratten story amazing beauty sexy patti hansen future mrs keith richards always wonderful even fifty two years old audrey hepburn song amigo roberto carlos although like roberto carlos popular brazilian singer since end called fans king keep movie collection attractions manly dorothy stratten vote four title brazil muito riso muita alegria many laughs lots happiness,0,0
22666,title creatures wreak havoc peaceful little desert town thats basically whole plot film scenes devoted munchies somewhat fun lowbrow kind way rest filler bad filler hero painful woody allen wannabe ultra dumb town cop hard pick irritating character film times almost screen together thinking least girlfriend cute put rest morons film also filled pop references ozzy osbourne linda blair probably made already dated early,0,0
22767,remember seeing movie long time ago television remember premise movie bunch hotel occupants attacked man eating ants didnt remember awful recently caught movie television late night sure must mistake movies like usually disappear existance never found suzanne somers pinnacle career playing chrissy threes company plays vacationer lakewood manor constructions workers installing swimming pool outside accidentally disturb ants nest say man eating ants nest one workers actually gets attacked ants one minute hes clothes one one next minute hes covered next scene shows skeleton dirt thought pretty far fetched see myrna loy playing wheel chair bound resident gets airlifted manor via helicopter could almost thinking relief getting airlifted movie final scenes depict suzanne robert foxworth third guy sitting floor hotel room backs blowing straws covered ants thats basically movie theres really disaster appeal big star draw film intended grand scale television event time lucky gets dumped timeslot local television station want catch suzanne somers best watch episode threes company want see myrna loy anything put bread table pay bills watch movie,0,0
12890,movie barely followed story line movie fascinating points book didnt even exist movie ended turning cheesy tween disney movie crush story meg calvin bad hillary duff playing part one likes movie nothing insult intelligence mysticism book cant believe disney could even get away making cheap basic rendition youve ever read book think would agree could easily made movie lord rings equivalence movie never able use title wrinkle time poorly done,0,0
